BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
2,12.54,12.54,3,12.64,12.64,4,12.79,12.79,1,12.47,12.47,5,12.90,12.90
2,9.86,22.40,3,9.86,22.50,5,9.82,22.61,1,9.87,22.34,4,9.70,22.60
5,9.70,32.10,3,9.33,31.83,4,9.26,31.87,1,9.27,31.61,2,9.10,31.70
5,9.17,41.27,3,9.08,40.91,4,9.14,41.01,1,9.13,40.74,2,9.11,40.81
5,9.13,50.40,3,9.25,50.16,4,9.29,50.30,1,9.23,49.97,2,9.27,50.08
5,9.05,59.45,3,9.05,59.21,4,9.04,59.34,1,9.06,59.03,2,9.03,59.11
5,9.00,1:08.45,3,9.00,1:08.21,4,9.00,1:08.34,2,9.17,1:08.20,1,8.94,1:08.05
3,8.74,1:17.19,1,8.85,1:17.06,4,8.89,1:17.23,5,9.30,1:17.50,2,9.06,1:17.11
4,9.21,1:26.40,1,8.99,1:26.05,3,9.02,1:26.25,5,9.49,1:26.99,2,9.10,1:26.21
