Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
2,12.61,12.61,1,12.51,12.51,3,12.71,12.71,4,12.83,12.83
2,9.66,22.27,1,9.76,22.27,3,9.72,22.43,4,9.72,22.55
1,9.75,32.02,2,9.84,32.11,3,9.78,32.21,4,9.78,32.33
1,9.75,41.77,2,9.75,41.86,3,9.69,41.90,4,9.75,42.08
1,9.86,51.63,2,9.87,51.73,3,9.88,51.78,4,9.83,51.91
1,10.06,1:01.69,2,10.05,1:01.78,3,10.06,1:01.84,4,10.06,1:01.97
1,10.27,1:11.96,3,10.38,1:12.16,2,10.20,1:12.04,4,10.31,1:12.28
2,10.52,1:22.48,3,10.35,1:22.51,1,10.17,1:22.21,4,10.44,1:22.72
4,10.85,1:33.321,2,10.21,1:32.720,1,10.18,1:32.390,3,10.16,1:32.880
