Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME
2,13.930,13.930,1,13.810,13.810,4,14.530,14.530,3,14.000,14.000
3,10.520,24.460,1,10.310,24.130,2,9.610,24.140,4,10.490,24.490
3,10.640,35.100,2,10.710,34.840,1,10.650,34.800,4,10.640,35.140
3,10.500,45.600,1,10.510,45.360,2,10.580,45.380,4,10.580,45.720
3,10.290,55.900,1,10.260,55.620,2,10.280,55.660,4,10.230,55.950
3,9.910,1:05.810,1,9.990,1:05.610,2,10.080,1:05.750,4,9.920,1:05.880
3,9.750,1:15.570,1,9.780,1:15.400,2,9.740,1:15.500,4,9.840,1:15.730
1,9.570,1:25.140,2,9.930,1:25.330,3,9.960,1:25.460,4,9.800,1:25.530
1,9.920,1:35.060,2,10.090,1:35.430,4,10.290,1:35.760,3,10.060,1:35.600
