CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME
1,14.35,14.35,3,14.60,14.60,2,14.47,14.47,4,14.82,14.82
2,11.29,25.64,3,11.24,25.84,1,11.14,25.61,4,11.22,26.04
2,10.65,36.29,3,10.55,36.39,1,10.56,36.17,4,10.55,36.59
2,11.04,47.33,3,11.16,47.55,1,11.06,47.23,4,11.12,47.71
2,10.91,58.24,3,10.83,58.38,1,10.90,58.13,4,10.91,58.62
1,10.05,1:08.29,3,10.20,1:08.58,2,10.32,1:08.45,4,10.17,1:08.79
1,10.12,1:18.41,4,10.23,1:18.81,2,10.11,1:18.56,3,9.84,1:18.63
2,10.14,1:28.55,4,10.21,1:29.02,3,10.31,1:28.87,1,9.82,1:28.45
2,10.22,1:38.768,4,10.58,1:39.592,3,10.61,1:39.479,1,9.89,1:38.335
