Ariff Rasydan MOHAMAD FADZLI POSITION,Ariff Rasydan MOHAMAD FADZLI LAP TIME,Ariff Rasydan MOHAMAD FADZLI ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME
1,10.19,,3,10.32,10.32,6,10.79,10.79,5,10.59,10.59,4,10.43,10.43,2,10.30,10.30
1,13.70,,2,13.60,23.92,6,13.62,24.41,5,13.69,24.28,3,13.64,24.07,4,13.83,24.13
4,10.98,,1,10.65,34.57,6,10.81,35.22,5,10.79,35.07,2,10.65,34.72,3,10.70,34.83
5,10.44,,1,10.35,44.92,6,10.20,45.42,3,10.04,45.11,4,10.40,45.12,2,10.18,45.01
6,10.79,,1,10.66,55.58,5,10.57,55.99,3,10.69,55.80,4,10.75,55.87,2,10.66,55.67
6,10.51,,2,10.47,1:06.05,5,10.40,1:06.39,3,10.36,1:06.16,4,10.42,1:06.29,1,10.28,1:05.95
6,10.21,,2,10.21,1:16.26,5,10.20,1:16.59,3,10.20,1:16.36,4,10.18,1:16.47,1,10.21,1:16.16
6,10.73,,2,10.17,1:26.43,5,10.20,1:26.79,3,10.19,1:26.55,4,10.22,1:26.69,1,10.18,1:26.34
6,11.56,,2,10.03,1:36.46,5,10.01,1:36.80,3,10.00,1:36.55,4,9.99,1:36.68,1,10.02,1:36.36
6,12.48,,2,9.79,1:46.25,4,9.69,1:46.49,3,9.81,1:46.36,5,9.95,1:46.63,1,9.82,1:46.18
6,14.62,,1,9.23,1:55.48,4,9.36,1:55.85,3,9.37,1:55.73,5,9.63,1:56.26,2,9.39,1:55.57
6,12.89,,1,9.35,2:04.83,4,9.32,2:05.17,3,9.33,2:05.06,5,9.78,2:06.04,2,9.36,2:04.93
6,12.25,,1,9.23,2:14.06,4,9.34,2:14.51,3,9.32,2:14.38,5,9.97,2:16.01,2,9.26,2:14.19
6,11.65,,1,9.42,2:23.460,4,9.15,2:23.654,3,9.25,2:23.628,5,10.30,2:26.291,2,9.35,2:23.531
