J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
1,9.66,9.66,5,9.89,9.89,4,9.87,9.87,3,9.78,,8,10.18,10.18,7,10.03,10.03,2,9.76,9.76,6,9.98,9.98
3,11.85,21.51,5,11.84,21.73,6,11.93,21.80,4,11.84,,6,11.62,21.80,8,12.04,22.07,2,11.57,21.33,1,11.25,21.23
4,10.93,32.44,6,10.91,32.64,7,10.97,32.77,3,10.69,,5,10.73,32.53,8,10.80,32.87,2,10.90,32.23,1,10.93,32.16
8,11.03,43.47,1,10.42,43.06,6,10.57,43.34,5,10.97,,3,10.64,43.17,7,10.50,43.37,4,10.97,43.20,2,10.95,43.11
8,10.16,53.63,1,9.90,52.96,2,9.70,53.04,6,10.14,,3,9.98,53.15,5,9.98,53.35,7,10.27,53.47,4,10.16,53.27
8,10.04,1:03.67,1,9.98,1:02.94,2,9.91,1:02.95,6,9.99,,3,9.97,1:03.12,4,9.87,1:03.22,7,10.06,1:03.53,5,10.06,1:03.33
8,9.52,1:13.19,4,9.79,1:12.73,1,9.55,1:12.50,6,9.56,,2,9.49,1:12.61,3,9.48,1:12.70,7,9.53,1:13.06,5,9.60,1:12.93
8,9.92,1:23.11,4,9.91,1:22.64,1,9.82,1:22.32,6,9.88,,2,9.79,1:22.40,3,9.73,1:22.43,7,9.90,1:22.96,5,9.81,1:22.74
8,9.30,1:32.41,4,9.21,1:31.85,3,9.49,1:31.81,6,9.32,,2,9.34,1:31.74,1,9.16,1:31.59,7,9.38,1:32.34,5,9.35,1:32.09
8,9.03,1:41.44,3,9.22,1:41.07,5,9.35,1:41.16,4,8.95,,2,9.20,1:40.94,1,9.23,1:40.82,7,9.01,1:41.35,6,9.19,1:41.28
8,8.94,1:50.38,4,8.94,1:50.01,5,8.92,1:50.08,3,8.78,,1,8.83,1:49.77,2,9.05,1:49.87,7,8.96,1:50.31,6,8.91,1:50.19
7,9.00,1:59.38,4,9.08,1:59.09,5,9.10,1:59.18,3,9.08,,1,9.00,1:58.77,2,9.00,1:58.87,6,8.99,1:59.30,8,9.25,1:59.44
8,9.45,2:08.83,4,9.18,2:08.27,5,9.22,2:08.40,3,9.12,,1,9.08,2:07.85,2,9.14,2:08.01,6,9.28,2:08.58,7,9.31,2:08.75
6,9.72,2:18.521,3,9.16,2:17.418,4,9.61,2:17.988,2,9.22,,1,9.26,2:17.087,2,9.36,2:17.354,5,9.55,2:18.109,7,9.95,2:18.680
