LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME
1,13.03,,2,13.12,13.12,3,13.22,13.22,4,13.34,13.34,5,13.45,13.45
1,10.02,,2,10.03,23.15,3,10.01,23.23,4,10.04,23.38,5,10.03,23.48
2,9.59,,1,9.43,32.58,3,9.44,32.67,4,9.48,32.86,5,9.49,32.97
2,9.13,,1,9.12,41.70,4,9.34,42.01,3,9.02,41.88,5,9.16,42.13
2,9.14,,1,9.14,50.84,4,9.11,51.12,3,9.15,51.03,5,9.11,51.24
2,9.02,,1,9.00,59.84,4,9.02,1:00.14,3,9.03,1:00.06,5,8.99,1:00.23
3,9.15,,1,9.02,1:08.86,4,9.01,1:09.15,2,8.92,1:08.98,5,8.99,1:09.22
3,8.95,,1,8.96,1:17.82,4,9.04,1:18.19,2,8.95,1:17.93,5,9.11,1:18.33
2,8.98,,1,9.08,1:26.90,4,9.12,1:27.31,3,9.29,1:27.22,5,9.30,1:27.63
