Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,MIN Ryoung POSITION,MIN Ryoung LAP TIME,MIN Ryoung ELAPSED TIME,Lubomir POPOVSKI POSITION,Lubomir POPOVSKI LAP TIME,Lubomir POPOVSKI ELAPSED TIME,Michael KOCH POSITION,Michael KOCH LAP TIME,Michael KOCH ELAPSED TIME
1,7.019,7.019,2,7.104,7.104,3,7.109,7.109,4,7.387,7.387,5,7.407,7.407
1,9.385,16.404,3,9.469,16.573,2,9.410,16.519,4,9.614,17.000,5,10.065,17.472
2,9.026,25.430,3,9.004,25.576,1,8.818,25.336,4,9.215,26.214,5,9.105,26.576
2,9.156,34.585,3,9.085,34.661,1,9.189,34.525,4,9.404,35.618,5,9.309,35.885
2,9.27,43.848,3,9.62,44.279,1,9.30,43.819,4,9.67,45.284,5,9.55,45.431
