KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME
1,6.90,6.90,2,7.07,7.07,3,7.16,7.16,4,7.26,7.26
2,9.13,16.03,1,8.88,15.95,4,8.94,16.10,3,8.83,16.09
2,8.57,24.60,1,8.57,24.52,4,8.75,24.85,3,8.65,24.74
3,8.55,33.15,1,8.53,33.05,4,8.45,33.30,2,8.39,33.13
3,8.69,41.834,1,8.70,41.748,4,8.69,41.983,2,8.68,41.803
