Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
2,8.78,8.78,3,9.25,9.25,5,9.81,9.81,1,8.52,8.52,4,9.42,9.42
2,10.55,19.33,3,10.65,19.90,5,10.67,20.48,1,10.59,19.11,4,10.65,20.07
2,9.81,29.14,3,9.69,29.59,5,9.68,30.16,1,9.95,29.06,4,9.62,29.69
2,9.73,38.87,3,9.56,39.15,5,9.52,39.68,1,9.70,38.76,4,9.57,39.26
2,9.75,48.62,3,9.57,48.72,5,9.37,49.05,1,9.78,48.54,4,9.61,48.87
3,9.91,58.53,1,9.56,58.28,5,9.73,58.78,2,9.89,58.43,4,9.74,58.61
3,9.92,1:08.45,1,9.93,1:08.21,5,9.88,1:08.66,2,9.92,1:08.35,4,9.94,1:08.55
3,9.64,1:18.09,1,9.65,1:17.86,5,9.68,1:18.34,2,9.72,1:18.07,4,9.64,1:18.19
2,9.42,1:27.51,1,9.44,1:27.30,4,9.49,1:27.83,5,9.90,1:27.97,3,9.42,1:27.61
2,9.20,1:36.71,1,9.31,1:36.61,4,9.16,1:36.99,5,10.15,1:38.12,3,9.26,1:36.87
2,9.15,1:45.86,1,9.14,1:45.75,3,9.00,1:45.99,5,10.43,1:48.55,4,9.23,1:46.10
1,9.21,1:55.07,2,9.33,1:55.08,3,9.15,1:55.14,5,10.82,1:59.37,4,9.44,1:55.54
2,9.30,2:04.37,3,9.45,2:04.53,1,9.12,2:04.26,5,11.20,2:10.57,4,9.89,2:05.43
2,9.70,2:14.070,3,10.39,2:14.911,1,9.57,2:13.824,5,11.74,2:22.309,4,10.69,2:16.120
