PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Hanna IZAFATAVA POSITION,Hanna IZAFATAVA LAP TIME,Hanna IZAFATAVA ELAPSED TIME,LIN Yu-Tzu POSITION,LIN Yu-Tzu LAP TIME,LIN Yu-Tzu ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME
3,7.78,7.78,1,7.55,7.55,4,7.89,7.89,5,8.20,8.20,2,7.60,7.60
4,10.15,17.93,2,9.58,17.13,3,9.81,17.70,5,9.92,18.12,1,9.41,17.01
4,9.37,27.30,2,8.94,26.07,3,9.44,27.14,5,9.58,27.70,1,8.95,25.96
4,9.84,37.14,2,8.98,35.05,3,9.77,36.91,5,9.63,37.33,1,9.02,34.98
4,10.02,47.164,2,9.19,44.24,3,10.14,47.054,5,9.92,47.253,1,9.17,44.15
