Kerim BALIC POSITION,Kerim BALIC LAP TIME,Kerim BALIC ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,David GOULET POSITION,David GOULET LAP TIME,David GOULET ELAPSED TIME,Maksim ZHERNOVY POSITION,Maksim ZHERNOVY LAP TIME,Maksim ZHERNOVY ELAPSED TIME,Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME
2,8.21,8.21,5,8.87,8.87,4,8.63,8.63,1,7.91,7.91,3,8.49,8.49
2,11.04,19.25,5,10.74,19.61,4,10.81,19.44,1,11.20,19.11,3,10.88,19.37
2,11.30,30.55,5,11.26,30.87,4,11.26,30.70,1,11.31,30.42,3,11.26,30.63
2,11.59,42.14,5,11.67,42.54,4,11.64,42.34,1,11.60,42.02,3,11.61,42.24
3,11.89,54.03,5,11.83,54.37,4,11.74,54.08,1,11.89,53.91,2,11.73,53.97
5,11.25,1:05.28,4,10.79,1:05.16,1,10.81,1:04.89,3,11.14,1:05.05,2,10.97,1:04.94
5,11.10,1:16.38,4,10.96,1:16.12,1,10.90,1:15.79,3,10.95,1:16.00,2,10.95,1:15.89
5,10.96,1:27.34,3,10.88,1:27.00,1,11.04,1:26.83,4,11.02,1:27.02,2,11.02,1:26.91
5,11.19,1:38.53,3,10.89,1:37.89,2,10.90,1:37.73,4,10.98,1:38.00,1,10.75,1:37.66
5,11.80,1:50.33,2,10.46,1:48.35,3,10.66,1:48.39,4,10.63,1:48.63,1,10.65,1:48.31
5,12.37,2:02.70,1,10.15,1:58.50,2,10.27,1:58.66,4,10.19,1:58.82,3,10.38,1:58.69
5,12.66,2:15.36,1,9.93,2:08.43,2,9.89,2:08.55,4,10.39,2:09.21,3,9.97,2:08.66
5,13.85,2:29.21,1,9.54,2:17.97,2,9.58,2:18.13,4,10.86,2:20.07,3,9.54,2:18.20
5,12.81,2:42.012,1,9.78,2:27.749,2,9.76,2:27.887,4,11.31,2:31.378,3,9.78,2:27.976
