Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME
2,9.63,9.63,3,9.74,9.74,1,9.48,9.48,5,10.03,10.03,6,10.23,10.23,4,9.87,9.87
2,14.65,24.28,3,14.70,24.44,1,14.58,24.06,5,14.76,24.79,6,14.58,24.81,4,14.73,24.60
4,12.63,36.91,5,12.51,36.95,2,12.67,36.73,3,11.95,36.74,1,11.83,36.64,6,12.54,37.14
5,10.91,47.82,2,10.64,47.59,4,10.97,47.70,2,10.85,47.59,1,10.85,47.49,6,10.84,47.98
4,9.70,57.52,5,10.01,57.60,3,9.73,57.43,2,9.73,57.32,1,9.73,57.22,6,9.65,57.63
4,9.86,1:07.38,6,10.07,1:07.67,3,9.84,1:07.27,2,9.85,1:07.17,1,9.86,1:07.08,5,9.87,1:07.50
4,10.03,1:17.41,6,9.97,1:17.64,3,10.03,1:17.30,2,10.00,1:17.17,1,9.97,1:17.05,5,10.02,1:17.52
4,9.65,1:27.06,6,9.77,1:27.41,3,9.59,1:26.89,2,9.66,1:26.83,1,9.65,1:26.70,5,9.69,1:27.21
4,9.18,1:36.24,6,9.23,1:36.64,3,9.25,1:36.14,2,9.21,1:36.04,1,9.25,1:35.95,5,9.16,1:36.37
4,9.17,1:45.41,6,9.28,1:45.92,3,9.16,1:45.30,2,9.17,1:45.21,1,9.16,1:45.11,5,9.24,1:45.61
4,9.07,1:54.48,6,9.58,1:55.50,3,9.13,1:54.43,2,9.09,1:54.30,1,9.09,1:54.20,5,9.36,1:54.97
3,8.92,2:03.40,6,10.05,2:05.55,4,9.06,2:03.49,2,9.06,2:03.36,1,9.05,2:03.25,5,9.72,2:04.69
4,9.24,2:12.64,6,10.70,2:16.25,3,9.05,2:12.54,2,9.11,2:12.47,1,9.11,2:12.36,5,10.05,2:14.74
4,9.28,2:21.899,6,11.46,2:27.683,3,9.25,2:21.767,2,9.24,2:21.685,1,9.31,2:21.650,5,10.61,2:25.321
