Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Beata PODWYSOCKA POSITION,Beata PODWYSOCKA LAP TIME,Beata PODWYSOCKA ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Ottilia SILLO POSITION,Ottilia SILLO LAP TIME,Ottilia SILLO ELAPSED TIME
4,9.253,9.253,2,9.073,9.073,3,9.242,9.242,1,9.073,9.073,5,9.406,9.406
4,12.777,22.030,1,12.656,21.729,2,12.655,21.897,3,12.827,21.900,5,12.843,22.249
5,12.260,34.290,3,12.413,34.142,2,12.169,34.066,4,12.306,34.206,1,11.682,33.931
5,11.717,46.007,3,11.699,45.841,2,11.745,45.811,4,11.666,45.871,1,11.532,45.463
5,12.008,58.015,3,11.883,57.724,2,11.859,57.670,4,11.934,57.806,1,11.959,57.422
5,12.291,1:10.305,2,12.397,1:10.122,3,12.469,1:10.139,4,12.439,1:10.244,1,12.439,1:09.861
2,11.293,1:21.598,1,11.128,1:21.250,4,12.785,1:22.924,5,18.013,1:28.258,3,11.943,1:21.803
1,10.835,1:32.433,2,11.286,1:32.535,4,21.269,1:44.193,3,14.246,1:42.503,5,35.688,1:57.491
1,11.649,1:44.082,2,11.613,1:44.148,4,12.784,1:56.977,3,11.254,1:53.757,5,18.447,2:15.937
1,12.052,1:56.134,2,12.042,1:56.190,4,12.533,2:09.509,3,11.705,2:05.462,5,19.816,2:35.754
1,12.191,2:08.325,2,12.237,2:08.426,4,12.382,2:21.892,3,11.946,2:17.408,5,16.789,2:52.542
2,12.242,2:20.566,1,12.026,2:20.452,4,13.086,2:34.977,3,12.427,2:29.835,5,17.415,3:09.958
2,11.763,2:32.329,1,11.150,2:31.603,4,13.182,2:48.160,3,12.615,2:42.450,5,17.596,3:27.554
2,11.474,2:43.803,1,11.735,2:43.337,4,13.765,3:01.925,3,13.483,2:55.933,0,,
