PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,KANG Kyong Hwa POSITION,KANG Kyong Hwa LAP TIME,KANG Kyong Hwa ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
3,16.35,16.35,1,16.08,16.08,4,16.74,16.74,2,16.31,16.31
4,12.91,29.26,3,13.10,29.19,2,12.41,29.15,1,12.67,28.99
4,12.09,41.36,3,11.95,41.14,1,11.53,40.69,2,11.88,40.88
4,10.48,51.85,3,10.68,51.83,1,10.92,51.61,2,10.77,51.65
4,11.08,1:02.93,2,10.81,1:02.64,1,10.92,1:02.54,3,11.10,1:02.76
4,10.47,1:13.41,2,10.57,1:13.22,1,10.67,1:13.21,3,10.56,1:13.32
3,10.87,1:24.28,4,12.72,1:25.94,1,10.42,1:23.64,2,10.53,1:23.86
3,10.46,1:34.75,4,14.79,1:40.74,1,10.71,1:34.36,2,10.60,1:34.46
0,,DQ,3,15.56,1:56.295,1,10.88,1:45.235,2,10.85,1:45.309
