Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME
1,12.70,12.70,2,13.03,13.03,3,13.11,13.11,4,13.37,13.37
1,10.09,22.79,2,10.11,23.14,3,10.21,23.32,4,10.04,23.41
1,10.19,32.98,2,9.96,33.10,4,10.72,34.04,3,9.77,33.18
1,10.17,43.15,2,10.10,43.20,3,9.33,43.37,4,10.46,43.64
1,9.83,52.98,2,9.98,53.18,3,10.06,53.43,4,9.91,53.55
1,10.16,1:03.14,2,10.03,1:03.21,3,9.88,1:03.31,4,9.98,1:03.53
1,10.04,1:13.18,3,10.04,1:13.25,2,9.93,1:13.24,4,9.99,1:13.52
2,10.08,1:23.26,3,10.08,1:23.33,1,9.96,1:23.20,4,10.04,1:23.56
3,10.39,1:33.644,2,10.24,1:33.568,1,10.30,1:33.495,4,10.21,1:33.769
