John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Leon BLOEMHOF POSITION,Leon BLOEMHOF LAP TIME,Leon BLOEMHOF ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME
2,10.07,10.07,6,10.40,,7,10.48,10.48,1,9.94,9.94,5,10.21,,3,10.10,10.10,4,10.17,10.17,8,10.53,10.53
4,13.50,23.57,7,13.55,,8,13.70,24.18,2,13.38,23.32,5,13.51,,3,13.36,23.46,1,12.97,23.14,6,13.39,23.92
1,11.59,35.16,7,11.87,,8,11.76,35.94,4,12.14,35.46,5,11.89,,2,11.80,35.26,2,12.12,35.26,5,11.69,35.61
3,10.88,46.04,7,10.80,,8,10.79,46.73,4,10.77,46.23,1,10.14,,2,10.67,45.93,5,11.07,46.33,6,10.88,46.49
3,10.10,56.14,4,9.57,,8,9.94,56.67,5,10.07,56.30,2,10.30,,1,10.11,56.04,6,10.09,56.42,7,10.08,56.57
3,9.38,1:05.52,1,9.10,,8,9.45,1:06.12,5,9.44,1:05.74,4,9.57,,2,9.40,1:05.44,6,9.45,1:05.87,7,9.42,1:05.99
1,9.25,1:14.77,2,9.59,,6,9.34,1:15.46,7,9.88,1:15.62,4,9.57,,8,23.16,1:28.60,3,9.31,1:15.18,5,9.35,1:15.34
1,9.49,1:24.26,2,9.50,,6,9.31,1:24.77,7,9.86,1:25.48,4,9.40,,8,16.78,1:45.38,3,9.31,1:24.49,5,9.30,1:24.64
1,9.44,1:33.70,2,9.45,,3,9.21,1:33.98,7,9.62,1:35.10,5,9.41,,8,10.88,1:56.26,6,9.77,1:34.26,3,9.34,1:33.98
1,9.45,1:43.15,7,29.06,,2,9.38,1:43.36,6,9.55,1:44.65,4,10.10,,8,10.53,2:06.79,3,9.53,1:43.79,5,10.55,1:44.53
1,9.38,1:52.53,8,23.26,,2,9.34,1:52.70,5,9.65,1:54.30,6,10.60,,7,10.96,2:17.75,3,9.75,1:53.54,4,9.52,1:54.05
1,9.25,2:01.78,8,13.43,,2,9.37,2:02.07,5,9.39,2:03.69,6,10.72,,7,11.00,2:28.75,3,9.80,2:03.34,4,9.49,2:03.54
1,9.37,2:11.15,8,11.72,,2,9.82,2:11.89,3,9.63,2:13.32,6,11.43,,7,11.14,2:39.89,5,10.61,2:13.95,3,9.78,2:13.32
1,10.25,2:21.40,8,11.93,,2,10.36,2:22.25,3,9.86,2:23.18,6,12.64,,7,11.19,2:51.08,5,11.17,2:25.12,4,10.35,2:23.67
