Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,Karl LINDQVIST POSITION,Karl LINDQVIST LAP TIME,Karl LINDQVIST ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Arno JASPERS POSITION,Arno JASPERS LAP TIME,Arno JASPERS ELAPSED TIME
1,8.120,8.120,2,8.160,8.160,5,8.390,8.390,3,8.320,8.320,6,8.680,8.680,4,8.350,8.350
1,11.520,19.650,2,11.520,19.680,5,11.640,20.040,4,11.610,19.930,6,11.500,20.190,3,11.410,19.770
1,11.320,30.970,2,11.420,31.100,4,11.350,31.390,3,11.380,31.320,5,11.210,31.400,6,13.720,33.490
1,11.460,42.440,3,11.440,42.550,5,11.400,42.790,4,11.460,42.780,6,11.510,42.920,2,8.970,42.470
1,11.350,53.790,3,11.450,54.000,5,11.450,54.250,4,11.350,54.140,6,11.540,54.460,2,11.460,53.930
1,11.040,1:04.830,2,10.940,1:04.940,4,10.970,1:05.220,5,11.170,1:05.310,6,10.940,1:05.410,3,11.020,1:04.960
2,10.040,1:14.880,1,9.900,1:14.850,5,10.050,1:15.280,4,9.790,1:15.100,6,9.930,1:15.350,3,10.110,1:15.080
1,9.870,1:24.750,2,9.970,1:24.830,6,10.200,1:25.490,3,9.900,1:25.000,5,10.050,1:25.400,4,9.950,1:25.030
1,9.860,1:34.620,2,9.810,1:34.650,6,9.950,1:35.440,4,9.870,1:34.880,5,9.570,1:34.980,3,9.780,1:34.820
1,9.620,1:44.240,2,9.700,1:44.350,6,10.290,1:45.730,4,9.720,1:44.610,5,9.840,1:44.820,3,9.700,1:44.520
2,10.000,1:54.250,1,9.700,1:54.050,6,10.510,1:56.240,4,9.880,1:54.490,5,9.950,1:54.770,3,9.910,1:54.440
3,10.440,2:04.690,1,9.650,2:03.710,5,11.100,2:07.340,2,10.130,2:04.630,4,10.110,2:04.880,6,45.850,2:40.290
2,9.090,2:13.780,1,9.640,2:13.360,5,11.740,2:19.090,3,10.150,2:14.780,4,10.310,2:15.200,6,17.030,2:57.320
2,10.690,2:24.480,1,9.880,2:23.240,5,11.870,2:30.970,3,10.530,2:25.310,4,10.740,2:25.950,6,15.420,3:12.750
