Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME
2,8.95,8.95,3,9.08,9.08,4,9.16,9.16,5,9.36,9.36,1,8.91,8.91
3,12.43,21.38,4,12.38,21.46,2,12.18,21.34,5,12.22,21.58,1,12.35,21.26
3,10.93,32.31,4,10.97,32.43,1,10.75,32.09,5,10.97,32.55,2,10.92,32.18
1,11.07,43.38,4,11.12,43.55,2,11.32,43.41,5,11.15,43.70,3,11.33,43.51
1,10.33,53.71,4,10.34,53.89,2,10.39,53.80,5,10.35,54.05,3,10.36,53.87
2,9.87,1:03.58,5,10.01,1:03.90,3,9.89,1:03.69,4,9.73,1:03.78,1,9.61,1:03.48
1,9.61,1:13.19,5,9.68,1:13.58,3,9.70,1:13.39,4,9.69,1:13.47,2,9.80,1:13.28
1,9.56,1:22.75,5,9.52,1:23.10,4,9.63,1:23.02,3,9.46,1:22.93,2,9.55,1:22.83
1,9.55,1:32.30,5,9.51,1:32.61,4,9.49,1:32.51,2,9.41,1:32.34,3,9.53,1:32.36
1,9.39,1:41.69,5,9.45,1:42.06,4,9.46,1:41.97,2,9.42,1:41.76,3,9.51,1:41.87
1,9.45,1:51.14,5,9.48,1:51.54,4,9.45,1:51.42,2,9.48,1:51.24,3,9.43,1:51.30
1,9.29,2:00.43,5,9.51,2:01.05,4,9.49,2:00.91,2,9.28,2:00.52,3,9.45,2:00.75
1,9.22,2:09.65,5,9.56,2:10.61,4,9.36,2:10.27,2,9.24,2:09.76,3,9.33,2:10.08
1,9.34,2:18.979,5,9.86,2:20.455,4,9.37,2:19.624,2,9.45,2:19.199,3,9.39,2:19.463
