LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,Lubomir KALCHEV POSITION,Lubomir KALCHEV LAP TIME,Lubomir KALCHEV ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,de ROSE Ethan POSITION,de ROSE Ethan LAP TIME,de ROSE Ethan ELAPSED TIME,TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME
1,10.82,10.82,3,11.17,11.17,5,11.33,11.33,4,11.32,11.32,2,11.02,11.02,6,11.61,11.61
1,16.27,27.09,5,16.42,27.59,3,16.04,27.37,6,16.43,27.75,2,16.21,27.23,4,15.87,27.48
2,14.91,42.00,5,14.79,42.38,3,14.77,42.14,6,14.76,42.51,1,14.64,41.87,4,14.77,42.25
2,13.87,55.87,5,13.92,56.30,1,13.66,55.80,6,13.91,56.42,3,14.08,55.95,4,13.85,56.10
1,12.10,1:07.97,5,12.03,1:08.33,4,12.44,1:08.24,6,11.99,1:08.41,2,12.13,1:08.08,3,12.06,1:08.16
1,11.25,1:19.22,5,11.24,1:19.57,4,11.22,1:19.46,6,11.25,1:19.66,3,11.24,1:19.32,2,11.15,1:19.31
3,10.83,1:30.05,4,10.58,1:30.15,5,10.72,1:30.18,6,10.59,1:30.25,2,10.69,1:30.01,1,10.64,1:29.95
3,10.04,1:40.09,1,9.78,1:39.93,6,10.37,1:40.55,2,9.79,1:40.04,4,10.18,1:40.19,5,10.51,1:40.46
3,9.21,1:49.30,1,9.13,1:49.06,6,10.00,1:50.55,3,9.26,1:49.30,2,8.97,1:49.16,5,9.21,1:49.67
3,9.00,1:58.30,2,9.10,1:58.16,6,11.36,2:01.91,4,9.12,1:58.42,1,8.99,1:58.15,5,8.92,1:58.59
3,9.08,2:07.38,1,8.85,2:07.01,6,13.56,2:15.47,4,9.04,2:07.46,2,8.94,2:07.09,5,9.07,2:07.66
3,9.34,2:16.72,1,8.82,2:15.83,6,15.64,2:31.11,4,9.39,2:16.85,2,9.01,2:16.10,5,9.34,2:17.00
3,9.66,2:26.38,1,8.99,2:24.82,6,13.85,2:44.96,4,9.64,2:26.49,2,9.18,2:25.28,5,9.79,2:26.79
3,10.12,2:36.502,1,9.29,2:34.119,6,14.46,2:59.428,4,10.01,2:36.508,2,9.58,2:34.865,5,10.58,2:37.371
