GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,XU Fu POSITION,XU Fu LAP TIME,XU Fu ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME
2,14.97,14.97,3,15.41,15.41,4,15.48,15.48,1,14.92,14.92
4,10.41,25.38,2,9.39,24.80,3,9.67,25.15,1,9.84,24.76
3,9.30,34.68,1,9.59,34.39,4,9.68,34.83,2,9.84,34.60
3,9.24,43.92,2,9.51,43.90,4,9.36,44.19,1,9.28,43.88
3,9.66,53.58,2,9.38,53.28,4,9.56,53.75,1,9.38,53.26
2,9.12,1:02.70,3,9.60,1:02.88,4,9.66,1:03.41,1,9.33,1:02.59
1,9.33,1:12.03,2,9.58,1:12.46,4,9.62,1:13.03,3,10.07,1:12.66
4,35.42,1:47.45,2,9.66,1:22.12,3,9.86,1:22.89,1,9.27,1:21.93
4,21.47,2:08.918,2,9.55,1:31.668,3,10.05,1:32.934,1,9.54,1:31.462
