Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME,Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME
4,14.28,14.28,3,14.18,14.18,2,14.05,14.05,1,13.95,13.95
4,11.03,25.31,3,11.06,25.24,2,11.09,25.14,1,11.09,25.04
3,10.53,35.84,4,10.75,35.99,1,10.54,35.68,2,10.75,35.79
2,10.30,46.14,3,10.24,46.23,1,10.35,46.03,4,10.47,46.26
3,10.36,56.50,2,10.24,56.47,1,10.34,56.37,4,10.45,56.71
3,10.59,1:07.09,2,10.26,1:06.73,1,10.20,1:06.57,4,10.61,1:07.32
3,10.44,1:17.53,2,10.43,1:17.16,1,10.28,1:16.85,4,10.59,1:17.91
3,10.57,1:28.10,2,10.28,1:27.44,1,10.35,1:27.20,4,10.70,1:28.61
3,10.69,1:38.785,2,10.50,1:37.934,1,10.43,1:37.630,4,10.97,1:39.574
