Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
1,13.44,13.44,3,13.66,13.66,2,13.55,13.55,4,13.78,13.78
1,10.88,24.32,3,10.88,24.54,2,10.88,24.43,4,10.94,24.72
1,10.27,34.59,4,10.26,34.80,2,10.28,34.71,3,10.07,34.79
1,9.80,44.39,4,9.91,44.71,2,9.79,44.50,3,9.84,44.63
1,9.59,53.98,4,9.57,54.28,2,9.58,54.08,3,9.53,54.16
1,9.35,1:03.33,4,9.28,1:03.56,2,9.34,1:03.42,3,9.39,1:03.55
1,9.15,1:12.48,3,9.41,1:12.97,2,9.18,1:12.60,4,9.68,1:13.23
1,9.25,1:21.73,3,9.20,1:22.17,2,9.39,1:21.99,4,9.72,1:22.95
1,9.57,1:31.299,3,9.39,1:31.557,2,9.44,1:31.427,4,10.03,1:32.972
