Benjamin KOCH POSITION,Benjamin KOCH LAP TIME,Benjamin KOCH ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Subodh Balavant PATIL POSITION,Subodh Balavant PATIL LAP TIME,Subodh Balavant PATIL ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME
1,7.065,7.065,2,7.092,7.092,4,7.924,7.924,3,7.129,7.129
2,9.585,16.649,1,9.364,16.455,4,10.560,18.483,3,9.523,16.652
3,9.170,25.819,1,8.863,25.318,4,10.510,28.993,2,8.701,25.352
3,9.392,35.211,2,9.250,34.568,4,10.159,39.152,1,9.077,34.428
3,9.78,44.989,2,9.38,43.940,4,10.83,49.980,1,9.49,43.914
