Ivan RADEVIC POSITION,Ivan RADEVIC LAP TIME,Ivan RADEVIC ELAPSED TIME,de ROSE Ethan POSITION,de ROSE Ethan LAP TIME,de ROSE Ethan ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,David DANNEEL POSITION,David DANNEEL LAP TIME,David DANNEEL ELAPSED TIME,Pietro MARINELLI POSITION,Pietro MARINELLI LAP TIME,Pietro MARINELLI ELAPSED TIME,LIN Xian-You POSITION,LIN Xian-You LAP TIME,LIN Xian-You ELAPSED TIME
1,8.35,8.35,2,8.48,8.48,4,8.71,8.71,5,8.85,8.85,6,8.97,,3,8.57,8.57
1,12.65,21.00,2,12.62,21.10,4,12.58,21.29,5,12.56,21.41,6,12.61,,3,12.61,21.18
1,12.57,33.57,2,12.60,33.70,4,12.65,33.94,6,12.64,34.05,5,12.46,,3,12.62,33.80
1,11.32,44.89,3,11.40,45.10,6,11.42,45.36,4,11.14,45.19,2,10.95,,5,11.41,45.21
1,10.04,54.93,3,10.02,55.12,5,9.93,55.29,6,10.24,55.43,2,10.03,,4,10.01,55.22
1,9.44,1:04.37,3,9.43,1:04.55,4,9.38,1:04.67,6,9.59,1:05.02,2,9.51,,5,9.60,1:04.82
1,9.17,1:13.54,3,9.30,1:13.85,4,9.31,1:13.98,6,9.50,1:14.52,2,9.18,,5,9.26,1:14.08
1,9.47,1:23.01,2,9.23,1:23.08,4,9.25,1:23.23,6,9.65,1:24.17,2,9.37,,5,9.24,1:23.32
1,9.38,1:32.39,5,9.92,1:33.00,4,9.73,1:32.96,6,9.82,1:33.99,2,9.53,,3,9.47,1:32.79
1,9.58,1:41.97,5,9.84,1:42.84,4,9.36,1:42.32,6,10.14,1:44.13,2,9.45,,3,9.33,1:42.12
1,9.70,1:51.67,5,10.23,1:53.07,4,9.68,1:52.00,6,10.42,1:54.55,3,9.77,,2,9.66,1:51.78
1,9.80,2:01.47,4,10.68,2:03.75,2,9.60,2:01.60,5,10.71,2:05.26,6,34.42,,3,10.42,2:02.20
2,10.20,2:11.67,4,11.05,2:14.80,1,9.73,2:11.33,5,10.97,2:16.23,6,16.53,,3,10.59,2:12.79
2,10.45,2:22.107,4,11.09,2:25.863,1,10.08,2:21.376,5,10.85,2:27.057,6,12.86,,3,10.84,2:23.609
