Tomonori IKE POSITION,Tomonori IKE LAP TIME,Tomonori IKE ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
1,14.022,14.022,4,14.297,14.297,3,14.183,14.183,2,14.136,14.136
2,10.648,24.669,4,10.528,24.824,3,10.640,24.822,1,10.386,24.522
3,9.943,34.612,1,9.460,34.284,4,9.963,34.785,2,10.073,34.595
2,9.257,43.868,1,9.352,43.635,4,9.238,44.022,3,9.287,43.881
3,9.306,53.174,1,9.374,53.009,4,9.210,53.232,2,9.226,53.107
4,9.516,1:02.689,2,9.454,1:02.462,3,9.345,1:02.576,1,9.277,1:02.383
4,9.674,1:12.363,2,9.869,1:12.330,1,9.619,1:12.195,3,9.955,1:12.338
3,9.492,1:21.854,4,10.148,1:22.478,2,9.599,1:21.794,1,9.258,1:21.595
3,9.97,1:31.816,4,10.33,1:32.806,2,9.73,1:31.524,1,9.90,1:31.490
