Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME
1,8.04,8.04,2,8.22,8.22,4,8.50,8.50,3,8.35,8.35,5,8.98,8.98
1,12.30,20.34,2,12.12,20.34,4,12.16,20.66,3,12.16,20.51,5,11.88,20.86
1,11.49,31.83,2,11.51,31.85,3,11.38,32.04,4,11.56,32.07,5,11.48,32.34
2,10.36,42.19,3,10.43,42.28,1,10.04,42.08,4,10.24,42.31,5,10.38,42.72
2,10.12,52.31,4,10.11,52.39,1,10.13,52.21,3,10.06,52.37,5,10.04,52.76
2,10.11,1:02.42,4,10.25,1:02.64,1,10.14,1:02.35,3,10.18,1:02.55,5,10.10,1:02.86
1,9.73,1:12.15,4,9.78,1:12.42,3,9.99,1:12.34,2,9.69,1:12.24,5,9.73,1:12.59
1,9.85,1:22.00,4,9.87,1:22.29,3,9.84,1:22.18,2,9.84,1:22.08,5,9.77,1:22.36
2,9.83,1:31.83,5,9.76,1:32.05,1,9.62,1:31.80,3,9.90,1:31.98,4,9.66,1:32.02
4,9.43,1:41.26,5,9.51,1:41.56,2,9.38,1:41.18,3,9.21,1:41.19,1,8.80,1:40.82
2,9.15,1:50.41,5,9.51,1:51.07,4,9.86,1:51.04,3,9.76,1:50.95,1,8.82,1:49.64
2,9.25,1:59.66,5,9.76,2:00.83,4,9.44,2:00.48,3,9.41,2:00.36,1,8.84,1:58.48
2,9.52,2:09.18,5,9.96,2:10.79,4,9.52,2:10.00,3,9.52,2:09.88,1,9.28,2:07.76
2,10.11,2:19.286,4,10.37,2:21.159,3,9.89,2:19.886,0,,PEN,1,10.12,2:17.878
