CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
4,7.82,7.82,2,7.49,7.49,1,7.32,7.32,3,7.80,7.80
4,9.74,17.56,2,9.77,17.26,1,9.86,17.18,3,9.66,17.46
4,9.39,26.95,2,9.48,26.74,1,9.45,26.63,3,9.40,26.86
3,9.27,36.22,2,9.42,36.16,1,9.46,36.09,4,9.39,36.25
1,9.39,45.608,3,9.68,45.832,2,9.67,45.756,4,9.75,45.998
