CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Weronika SUROWIEC POSITION,Weronika SUROWIEC LAP TIME,Weronika SUROWIEC ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
2,7.56,7.56,1,7.34,7.34,4,7.75,7.75,3,7.71,7.71,5,8.07,8.07
2,9.69,17.25,1,9.44,16.78,4,9.92,17.67,3,9.66,17.37,5,9.72,17.79
2,9.27,26.52,1,8.96,25.74,4,9.73,27.40,3,9.28,26.65,5,9.70,27.49
2,9.37,35.89,1,9.18,34.92,5,10.01,37.41,3,9.27,35.92,4,9.58,37.07
3,9.73,45.62,1,9.44,44.36,5,10.52,47.93,2,9.25,45.17,4,9.80,46.87
