SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME
1,13.36,13.36,6,13.91,13.91,2,13.44,13.44,3,13.56,13.56,5,13.85,13.85,4,13.69,13.69
2,10.40,23.76,3,9.95,23.86,1,10.28,23.72,5,10.55,24.11,6,10.39,24.24,4,10.34,24.03
2,10.17,33.93,4,10.16,34.02,1,10.13,33.85,3,9.89,34.00,5,9.86,34.10,6,10.09,34.12
2,9.61,43.54,3,9.60,43.62,1,9.64,43.49,4,9.63,43.63,5,9.67,43.77,6,9.79,43.91
3,9.78,53.32,2,9.63,53.25,1,9.66,53.15,6,10.08,53.71,4,9.70,53.47,5,9.68,53.59
3,9.66,1:02.98,2,9.67,1:02.92,1,9.67,1:02.82,6,9.62,1:03.33,4,9.63,1:03.10,5,9.63,1:03.22
2,9.44,1:12.42,4,9.83,1:12.75,1,9.41,1:12.23,6,9.52,1:12.85,3,9.53,1:12.63,5,9.56,1:12.78
2,9.37,1:21.79,4,9.80,1:22.55,1,9.46,1:21.69,4,9.70,1:22.55,3,9.81,1:22.44,6,9.94,1:22.72
2,9.62,1:31.41,6,10.55,1:33.082,1,9.64,1:31.33,5,10.12,1:32.651,3,10.11,1:32.535,4,9.90,1:32.611
