Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME
1,7.16,7.16,2,7.34,7.34,4,7.57,7.57,3,7.57,7.57
1,8.95,16.11,2,8.90,16.24,3,9.32,16.89,4,9.51,17.08
4,27.00,43.11,3,24.78,41.02,1,8.77,25.66,2,8.99,26.07
3,10.38,53.49,4,13.25,54.27,1,8.96,34.62,2,9.00,35.07
3,10.10,1:03.490,4,12.70,1:06.967,1,9.42,44.038,2,9.29,44.354
