Cynthia MASCITTO POSITION,Cynthia MASCITTO LAP TIME,Cynthia MASCITTO ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,Renata SZOCS POSITION,Renata SZOCS LAP TIME,Renata SZOCS ELAPSED TIME,CHEON Hee Jung POSITION,CHEON Hee Jung LAP TIME,CHEON Hee Jung ELAPSED TIME,Monika HELLER POSITION,Monika HELLER LAP TIME,Monika HELLER ELAPSED TIME
2,9.66,9.66,4,9.82,9.82,1,9.53,9.53,5,9.96,9.96,6,10.22,10.22,3,9.79,9.79
2,13.19,22.85,3,13.13,22.95,1,13.19,22.72,5,13.21,23.17,6,13.12,23.34,4,13.28,23.07
2,12.46,35.31,3,12.48,35.43,1,12.48,35.20,5,12.46,35.63,6,12.48,35.82,4,12.45,35.52
2,12.58,47.89,3,12.53,47.96,1,12.56,47.76,5,12.55,48.18,6,12.52,48.34,4,12.56,48.08
2,12.14,1:00.03,4,12.19,1:00.15,1,12.17,59.93,5,12.12,1:00.30,6,12.11,1:00.45,3,12.01,1:00.09
3,11.35,1:11.38,4,11.33,1:11.48,1,11.27,1:11.20,5,11.29,1:11.59,6,11.29,1:11.74,2,11.24,1:11.33
3,11.28,1:22.66,4,11.28,1:22.76,1,11.26,1:22.46,5,11.27,1:22.86,6,11.25,1:22.99,2,11.22,1:22.55
3,11.45,1:34.11,4,11.45,1:34.21,1,11.47,1:33.93,5,11.44,1:34.30,6,11.38,1:34.37,2,11.47,1:34.02
1,10.78,1:44.89,3,10.79,1:45.00,2,11.05,1:44.98,6,11.08,1:45.38,5,10.97,1:45.34,4,11.11,1:45.13
3,10.49,1:55.38,1,10.15,1:55.15,2,10.28,1:55.26,6,10.67,1:56.05,4,10.20,1:55.54,5,10.61,1:55.74
2,10.08,2:05.46,6,32.70,2:27.85,5,25.76,2:21.02,4,10.60,2:06.65,1,9.88,2:05.42,3,10.38,2:06.12
2,10.49,2:15.95,6,29.79,2:57.64,5,14.55,2:35.57,4,11.42,2:18.07,1,9.85,2:15.27,3,10.69,2:16.81
2,10.72,2:26.67,6,17.01,3:14.65,5,13.00,2:48.57,4,12.24,2:30.31,1,9.75,2:25.02,3,10.95,2:27.76
2,11.22,2:37.888,5,16.06,3:30.707,0,,PEN,4,12.55,2:42.858,1,10.30,2:35.313,3,11.61,2:39.367
