Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
5,11.18,11.18,4,11.04,11.04,6,11.48,,3,11.00,11.00,2,10.91,10.91,1,10.75,10.75
5,14.26,25.44,4,14.25,25.29,6,14.09,,1,13.94,24.94,2,14.14,25.05,3,14.40,25.15
5,12.95,38.39,4,12.94,38.23,6,12.95,,1,12.87,37.81,2,12.88,37.93,3,12.93,38.08
3,11.41,49.80,5,11.68,49.91,6,11.54,,1,11.79,49.60,2,11.75,49.68,4,11.74,49.82
1,10.18,59.98,5,10.55,1:00.46,6,10.50,,3,10.61,1:00.21,2,10.40,1:00.08,4,10.50,1:00.32
1,10.38,1:10.36,6,10.30,1:10.76,5,10.09,,3,10.33,1:10.54,2,10.30,1:10.38,4,10.32,1:10.64
3,9.48,1:19.84,6,9.43,1:20.19,1,9.08,,4,9.44,1:19.98,1,9.35,1:19.73,5,9.42,1:20.06
1,8.97,1:28.81,5,9.03,1:29.22,6,37.23,,2,8.96,1:28.94,3,9.30,1:29.03,4,9.05,1:29.11
1,9.35,1:38.16,5,9.30,1:38.52,6,19.68,,2,9.33,1:38.27,3,9.34,1:38.37,4,9.33,1:38.44
1,9.45,1:47.61,4,9.46,1:47.98,6,11.01,,2,9.42,1:47.69,5,14.53,1:52.90,3,9.42,1:47.86
1,9.44,1:57.05,4,9.39,1:57.37,6,10.22,,1,9.36,1:57.05,5,41.86,2:34.76,3,9.37,1:57.23
2,9.23,2:06.28,4,9.03,2:06.40,5,10.32,,1,8.93,2:05.98,6,20.75,2:55.51,3,9.11,2:06.34
4,9.78,2:16.06,3,9.12,2:15.52,5,10.50,,1,8.79,2:14.77,6,13.90,3:09.41,2,9.17,2:15.51
4,10.64,2:26.700,2,8.97,2:24.491,5,13.08,,1,8.96,2:23.73,5,12.49,3:21.893,3,9.46,2:24.974
