JUNG Ba-Ra POSITION,JUNG Ba-Ra LAP TIME,JUNG Ba-Ra ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
4,7.88,7.88,1,7.45,7.45,2,7.66,7.66,3,7.78,7.78
3,9.44,17.33,1,9.64,17.09,2,9.65,17.31,4,9.79,17.58
3,9.21,26.55,1,9.19,26.28,2,9.06,26.38,4,9.45,27.03
3,9.32,35.87,1,9.12,35.41,2,9.36,35.74,4,9.70,36.73
2,9.27,45.139,1,9.57,44.972,3,10.01,45.741,4,10.47,47.193
