ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME
4,8.93,8.93,2,8.62,8.62,3,8.88,8.88,5,9.29,9.29,1,8.49,8.49
4,12.83,21.76,2,13.03,21.65,3,12.85,21.73,5,12.84,22.13,1,12.97,21.46
4,13.90,35.66,1,13.83,35.48,3,13.88,35.61,5,13.80,35.93,2,14.07,35.53
5,12.74,48.40,3,12.67,48.15,4,12.68,48.29,2,12.15,48.08,1,12.44,47.97
5,11.85,1:00.25,4,11.93,1:00.08,1,11.38,59.67,3,11.89,59.97,2,12.00,59.97
5,11.40,1:11.65,1,10.90,1:10.98,3,11.51,1:11.18,4,11.49,1:11.46,2,11.16,1:11.13
5,10.77,1:22.42,1,10.95,1:21.93,4,11.10,1:22.28,2,10.73,1:22.19,3,11.08,1:22.21
4,10.27,1:32.69,1,10.37,1:32.30,5,10.55,1:32.83,2,10.36,1:32.55,3,10.40,1:32.61
4,10.73,1:43.42,1,10.77,1:43.07,5,10.87,1:43.70,2,10.70,1:43.25,3,10.66,1:43.27
4,10.60,1:54.02,2,10.74,1:53.81,5,10.50,1:54.20,1,10.45,1:53.70,3,10.55,1:53.82
3,10.31,2:04.33,2,10.46,2:04.27,5,10.51,2:04.71,1,10.50,2:04.20,4,10.65,2:04.47
1,9.67,2:14.00,2,9.97,2:14.24,5,10.61,2:15.32,3,10.33,2:14.53,4,10.25,2:14.72
1,9.69,2:23.69,2,10.19,2:24.43,5,10.84,2:26.16,3,10.10,2:24.63,4,10.25,2:24.97
1,10.39,2:34.075,3,10.62,2:35.041,5,11.45,2:37.607,2,10.29,2:34.911,4,10.57,2:35.531
