Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Takashi YOSHIDA POSITION,Takashi YOSHIDA LAP TIME,Takashi YOSHIDA ELAPSED TIME
1,12.53,12.53,3,12.73,12.73,2,12.60,12.60,4,12.81,12.81
1,9.91,22.44,4,9.93,22.67,2,9.90,22.50,3,9.82,22.63
1,9.66,32.10,3,9.70,32.38,2,9.66,32.17,4,9.76,32.40
1,9.69,41.80,4,9.65,42.03,2,9.73,41.90,3,9.61,42.01
1,9.44,51.25,4,9.61,51.65,2,9.39,51.29,3,9.47,51.49
1,9.48,1:00.73,4,9.44,1:01.09,2,9.45,1:00.75,3,9.58,1:01.08
1,9.44,1:10.17,3,9.24,1:10.34,2,9.50,1:10.26,4,9.32,1:10.41
1,9.30,1:19.47,3,9.32,1:19.66,2,9.31,1:19.57,4,9.34,1:19.75
2,9.84,1:29.307,3,9.71,1:29.361,4,9.96,1:29.524,1,9.49,1:29.234
