Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME
4,13.89,13.89,2,13.70,13.70,3,13.79,13.79,5,14.00,14.00,1,13.61,13.61
4,10.72,24.61,2,10.66,24.36,3,10.66,24.45,5,10.76,24.76,1,10.68,24.29
5,10.19,34.80,2,10.05,34.41,3,10.04,34.49,4,9.82,34.58,1,10.08,34.37
5,9.37,44.17,1,9.38,43.79,4,9.56,44.05,2,9.36,43.94,2,9.57,43.94
5,9.34,53.51,1,9.15,52.94,4,9.44,53.49,2,9.14,53.08,3,9.22,53.16
5,9.53,1:03.04,1,9.11,1:02.05,4,9.38,1:02.87,2,9.05,1:02.13,3,9.09,1:02.25
5,9.30,1:12.34,1,9.02,1:11.07,4,9.27,1:12.14,2,8.97,1:11.10,3,9.03,1:11.28
5,9.37,1:21.71,2,9.13,1:20.20,4,9.41,1:21.55,1,8.94,1:20.04,3,9.01,1:20.29
5,11.07,1:32.78,3,9.44,1:29.64,4,9.60,1:31.15,1,9.28,1:29.32,2,9.11,1:29.40
