Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
2,9.56,9.56,1,9.41,9.41,4,9.88,9.88,3,9.67,9.67,5,10.02,10.02
2,12.92,22.48,1,12.94,22.35,4,12.87,22.75,3,12.93,22.60,5,12.85,22.87
2,11.67,34.15,1,11.70,34.05,4,11.67,34.42,3,11.66,34.26,5,11.65,34.52
1,10.81,44.96,2,11.06,45.11,4,10.93,45.35,3,10.95,45.21,5,10.93,45.45
1,11.08,56.04,2,11.05,56.16,4,11.06,56.41,3,11.07,56.28,5,11.05,56.50
2,10.73,1:06.77,1,10.51,1:06.67,4,10.55,1:06.96,3,10.50,1:06.78,5,10.62,1:07.12
2,9.83,1:16.60,1,9.83,1:16.50,4,9.86,1:16.82,3,9.92,1:16.70,5,9.79,1:16.91
1,9.41,1:26.01,2,9.62,1:26.12,4,9.49,1:26.31,3,9.51,1:26.21,5,9.49,1:26.40
3,9.62,1:35.63,2,9.50,1:35.62,1,9.27,1:35.58,4,9.55,1:35.76,5,9.46,1:35.86
5,9.27,1:44.90,2,9.04,1:44.66,1,8.86,1:44.44,3,9.03,1:44.79,4,8.98,1:44.84
5,9.15,1:54.05,2,9.11,1:53.77,1,9.24,1:53.68,3,9.04,1:53.83,4,9.11,1:53.95
5,9.29,2:03.34,2,9.22,2:02.99,1,9.18,2:02.86,3,9.23,2:03.06,4,9.25,2:03.20
5,9.28,2:12.62,2,9.28,2:12.27,1,9.24,2:12.10,3,9.29,2:12.35,4,9.29,2:12.49
5,9.63,2:22.229,1,9.05,2:21.308,2,9.27,2:21.361,3,9.11,2:21.441,4,9.33,2:21.813
