Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Teerit VONGKOVIT POSITION,Teerit VONGKOVIT LAP TIME,Teerit VONGKOVIT ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME
1,10.23,10.23,2,10.45,10.45,4,11.33,11.33,5,11.65,11.65,3,11.15,11.15
1,11.79,22.02,2,11.71,22.16,4,11.43,22.76,5,11.31,22.96,3,11.45,22.60
1,10.52,32.54,2,10.52,32.68,4,10.31,33.07,5,10.24,33.20,3,10.32,32.92
1,10.45,42.99,2,10.42,43.10,4,10.34,43.41,5,10.35,43.55,3,10.38,43.30
1,10.29,53.28,2,10.31,53.41,4,10.34,53.75,5,10.35,53.90,3,10.30,53.60
1,10.38,1:03.66,2,10.37,1:03.78,4,10.39,1:04.14,5,10.35,1:04.25,3,10.39,1:03.99
1,10.49,1:14.15,2,10.51,1:14.29,4,10.43,1:14.57,5,10.42,1:14.67,3,10.46,1:14.45
2,10.47,1:24.62,3,10.39,1:24.68,4,10.13,1:24.70,5,10.24,1:24.91,1,10.12,1:24.57
2,9.75,1:34.37,5,9.91,1:34.59,4,9.86,1:34.56,3,9.54,1:34.45,1,9.68,1:34.25
3,9.65,1:44.02,5,9.65,1:44.24,4,9.54,1:44.10,1,9.28,1:43.73,2,9.50,1:43.75
3,9.64,1:53.66,5,9.45,1:53.69,4,9.56,1:53.66,1,9.32,1:53.05,2,9.39,1:53.14
5,9.97,2:03.63,4,9.77,2:03.46,3,9.39,2:03.05,1,9.15,2:02.20,2,9.25,2:02.39
5,9.96,2:13.59,4,9.94,2:13.40,3,9.67,2:12.72,1,8.98,2:11.18,2,9.02,2:11.41
4,10.11,2:23.692,5,10.36,2:23.758,3,10.32,2:23.040,1,9.34,2:20.514,2,9.17,2:20.573
