Stephen LEE POSITION,Stephen LEE LAP TIME,Stephen LEE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
2,14.223,14.223,3,14.303,14.303,1,14.075,14.075,4,14.448,14.448
2,11.048,25.270,4,11.120,25.422,1,10.901,24.975,3,10.859,25.307
1,9.948,35.218,4,10.228,35.650,2,10.495,35.469,3,10.293,35.599
1,10.050,45.268,4,9.927,45.577,3,9.966,45.435,2,9.807,45.406
1,10.361,55.628,4,10.189,55.765,2,10.239,55.673,3,10.268,55.673
1,9.507,1:05.134,3,9.854,1:05.619,2,9.532,1:05.205,4,9.970,1:05.643
3,9.945,1:15.079,4,9.508,1:15.127,1,9.537,1:14.741,2,9.321,1:14.963
3,9.991,1:25.070,4,9.964,1:25.090,1,9.499,1:24.239,2,9.527,1:24.490
3,9.86,1:34.921,2,9.79,1:34.878,4,10.99,1:35.228,1,10.06,1:34.550
