PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME
3,7.10,7.10,1,6.83,6.83,4,7.20,7.20,2,6.89,6.89
3,9.15,16.25,1,9.16,15.99,4,9.20,16.40,2,9.19,16.08
3,8.54,24.79,2,8.78,24.77,4,8.54,24.94,1,8.64,24.72
2,8.91,33.70,3,9.11,33.88,4,9.13,34.07,1,8.91,33.63
1,9.02,42.716,3,9.21,43.084,4,9.03,43.096,2,9.21,42.839
