van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME
1,7.39,7.39,2,7.54,7.54,4,7.78,7.78,3,7.64,7.64
1,9.54,16.93,2,9.48,17.02,4,9.50,17.28,3,9.50,17.14
1,8.99,25.92,2,8.99,26.01,3,8.84,26.12,4,9.00,26.14
1,9.17,35.09,2,9.17,35.18,4,9.39,35.51,3,9.27,35.41
0,,PHOTO,0,,PHOTO,4,10.06,45.57,3,9.64,45.05
