Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,6.98,6.98,3,7.10,7.10,2,7.09,7.09
1,9.07,16.06,2,9.04,16.15,3,9.15,16.24
1,8.71,24.77,2,8.65,24.80,3,8.57,24.82
2,8.89,33.66,3,8.88,33.68,1,8.83,33.65
1,9.11,42.761,2,9.18,42.851,3,9.31,42.951
