THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Avalon AARDOOM POSITION,Avalon AARDOOM LAP TIME,Avalon AARDOOM ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME
1,14.07,14.07,2,14.20,14.20,4,14.42,14.42,3,14.30,14.30,5,14.53,14.53
2,11.34,25.41,1,11.09,25.29,4,11.24,25.66,3,11.21,25.51,5,11.24,25.77
2,10.42,35.83,1,10.41,35.70,4,10.42,36.08,3,10.44,35.95,5,10.35,36.12
3,9.64,45.47,1,9.68,45.38,5,9.54,45.62,4,9.60,45.55,2,9.32,45.44
3,9.55,55.02,2,9.49,54.87,4,9.49,55.11,5,9.57,55.12,1,9.22,54.66
4,9.43,1:04.45,3,9.48,1:04.35,2,8.98,1:04.09,5,9.44,1:04.56,1,9.41,1:04.07
3,9.44,1:13.89,5,9.68,1:14.03,1,9.00,1:13.09,4,9.46,1:14.02,2,9.58,1:13.65
3,9.69,1:23.58,5,9.81,1:23.84,1,9.26,1:22.35,4,9.66,1:23.68,2,9.66,1:23.31
3,9.94,1:33.52,5,9.97,1:33.81,1,9.64,1:31.99,4,10.00,1:33.68,2,10.03,1:33.34
