Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
3,9.62,9.62,4,9.78,9.78,2,9.58,9.58,5,9.96,9.96,6,10.13,10.13,1,9.54,9.54
2,13.09,22.71,4,13.16,22.94,3,13.24,22.82,5,13.12,23.08,6,13.11,23.24,1,13.06,22.60
2,11.91,34.62,4,11.87,34.81,3,11.90,34.72,5,11.88,34.96,6,11.85,35.09,1,11.91,34.51
2,11.71,46.33,4,11.65,46.46,3,11.73,46.45,6,11.67,46.63,5,11.49,46.58,1,11.71,46.22
3,10.30,56.63,6,10.42,56.88,4,10.25,56.70,5,10.15,56.78,2,10.04,56.62,1,10.31,56.53
3,9.95,1:06.58,6,9.99,1:06.87,4,9.98,1:06.68,5,9.99,1:06.77,1,9.85,1:06.47,2,10.01,1:06.54
2,10.03,1:16.61,6,10.13,1:17.00,4,10.07,1:16.75,5,10.12,1:16.89,3,10.23,1:16.70,1,10.01,1:16.55
2,9.95,1:26.56,6,9.95,1:26.95,3,9.91,1:26.66,5,9.95,1:26.84,4,10.04,1:26.74,1,9.93,1:26.48
2,10.03,1:36.59,6,10.08,1:37.03,3,10.01,1:36.67,5,10.09,1:36.93,4,10.06,1:36.80,1,10.02,1:36.50
2,9.86,1:46.45,6,9.85,1:46.88,3,9.91,1:46.58,5,9.86,1:46.79,4,9.89,1:46.69,1,9.88,1:46.38
2,9.59,1:56.04,5,9.59,1:56.47,3,9.56,1:56.14,6,9.69,1:56.48,4,9.67,1:56.36,1,9.59,1:55.97
2,9.57,2:05.61,5,9.50,2:05.97,3,9.56,2:05.70,6,9.73,2:06.21,4,9.51,2:05.87,1,9.57,2:05.54
2,9.52,2:15.13,5,9.53,2:15.50,4,9.70,2:15.40,6,10.02,2:16.23,3,9.51,2:15.38,1,9.54,2:15.08
2,9.73,2:24.859,3,10.20,2:25.700,0,,PEN,4,10.99,2:27.212,5,40.28,2:55.658,1,9.69,2:24.765
