Andrea DO-DUC POSITION,Andrea DO-DUC LAP TIME,Andrea DO-DUC ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
2,10.56,10.56,1,10.41,10.41,3,10.59,10.59,5,10.76,10.76,4,10.75,10.75
3,14.31,24.87,2,14.25,24.66,4,14.46,25.05,1,13.73,24.49,5,14.46,25.21
3,13.14,38.01,2,13.19,37.85,4,13.11,38.16,1,13.23,37.72,5,13.07,38.28
4,13.25,51.26,2,13.29,51.14,3,13.03,51.19,1,13.31,51.03,5,13.11,51.39
4,12.00,1:03.26,1,11.87,1:03.01,2,11.85,1:03.04,3,12.12,1:03.15,5,11.93,1:03.32
4,11.50,1:14.76,1,11.45,1:14.46,2,11.53,1:14.57,3,11.52,1:14.67,5,11.56,1:14.88
5,11.01,1:25.77,1,11.03,1:25.49,3,11.04,1:25.61,4,11.08,1:25.75,2,10.71,1:25.59
3,9.77,1:35.54,1,9.86,1:35.35,2,9.86,1:35.47,5,10.05,1:35.80,4,10.05,1:35.64
3,9.83,1:45.37,1,9.87,1:45.22,2,9.83,1:45.30,5,9.92,1:45.72,4,9.80,1:45.44
3,10.20,1:55.57,1,10.19,1:55.41,2,10.19,1:55.49,5,10.20,1:55.92,4,10.25,1:55.69
3,10.08,2:05.65,2,10.13,2:05.54,1,10.02,2:05.51,5,10.23,2:06.15,4,10.09,2:05.78
2,10.06,2:15.71,3,10.19,2:15.73,1,10.14,2:15.65,5,10.59,2:16.74,4,9.99,2:15.77
1,10.07,2:25.78,3,10.51,2:26.24,5,26.27,2:41.92,4,11.16,2:27.90,2,10.19,2:25.96
2,10.15,2:35.930,3,10.38,2:36.618,5,23.83,3:05.743,4,12.20,2:40.097,1,9.90,2:35.857
