Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Debora SECCHI POSITION,Debora SECCHI LAP TIME,Debora SECCHI ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,QI Mengyao POSITION,QI Mengyao LAP TIME,QI Mengyao ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME
3,9.704,9.704,2,9.396,9.396,4,9.779,9.779,6,10.186,10.186,1,9.362,9.362,5,9.847,9.847
3,13.742,23.446,2,13.999,23.395,5,13.902,23.681,6,13.640,23.826,1,13.616,22.977,4,13.689,23.536
3,13.199,36.645,2,12.999,36.393,5,13.256,36.936,6,13.328,37.153,1,13.328,36.304,4,13.244,36.780
3,13.186,49.831,2,13.030,49.423,5,13.127,50.063,6,13.087,50.240,1,13.063,49.367,4,13.158,49.937
3,12.540,1:02.371,2,12.791,1:02.214,6,12.908,1:02.971,5,12.471,1:02.711,1,12.618,1:01.985,4,12.662,1:02.598
3,10.613,1:12.983,4,10.868,1:13.082,6,10.543,1:13.514,2,9.714,1:12.425,1,10.402,1:12.386,5,10.520,1:13.118
5,9.847,1:22.830,3,9.358,1:22.439,6,10.619,1:24.132,2,9.964,1:22.388,1,9.985,1:22.370,4,9.629,1:22.746
4,9.822,1:32.651,1,9.925,1:32.364,6,10.997,1:35.129,3,10.011,1:32.399,2,10.005,1:32.375,5,10.008,1:32.754
4,10.028,1:42.679,3,10.085,1:42.448,6,11.364,1:46.492,1,9.884,1:42.282,2,9.911,1:42.285,5,9.960,1:42.713
5,10.456,1:53.135,3,10.447,1:52.895,6,12.177,1:58.669,1,10.028,1:52.310,2,10.575,1:52.860,4,10.416,1:53.129
4,10.776,2:03.911,3,11.016,2:03.910,6,13.249,2:11.918,1,10.292,2:02.602,2,10.788,2:03.647,5,10.998,2:04.127
4,10.942,2:14.852,2,10.483,2:14.393,6,14.247,2:26.164,1,10.787,2:13.389,3,10.787,2:14.433,5,11.245,2:15.372
3,10.620,2:25.471,2,10.832,2:25.224,6,13.011,2:39.175,1,10.944,2:24.332,4,11.461,2:25.894,5,12.230,2:27.601
3,10.45,2:35.920,2,10.63,2:35.847,6,12.54,2:51.712,1,10.93,2:35.253,4,11.63,2:37.518,5,13.26,2:40.856
