Tamara FREDERICK POSITION,Tamara FREDERICK LAP TIME,Tamara FREDERICK ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME
3,15.18,15.18,2,15.15,15.15,1,15.08,15.08,4,15.21,15.21
2,12.29,27.47,4,12.46,27.61,3,12.40,27.48,1,12.09,27.30
2,10.54,38.01,4,10.62,38.23,3,10.56,38.04,1,10.58,37.88
3,10.22,48.23,4,10.13,48.36,1,9.96,48.00,2,10.19,48.07
3,10.21,58.44,4,10.26,58.62,1,10.29,58.29,2,10.27,58.34
3,10.29,1:08.73,4,10.23,1:08.85,2,10.39,1:08.68,1,10.24,1:08.58
4,10.25,1:18.98,2,9.85,1:18.70,3,10.07,1:18.75,1,10.03,1:18.61
4,9.82,1:28.80,1,9.38,1:28.08,2,9.78,1:28.53,3,9.92,1:28.53
3,10.36,1:39.157,1,9.40,1:37.474,0,,PEN,2,10.57,1:39.100
