Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME
3,7.60,7.60,1,7.52,7.52,2,7.52,7.52,4,7.86,7.86
3,9.59,17.19,2,9.65,17.17,1,9.62,17.15,4,9.50,17.36
1,9.19,26.39,4,9.36,26.54,2,9.26,26.42,3,9.16,26.53
2,9.37,35.76,1,9.20,35.74,4,9.37,35.79,3,9.26,35.79
1,9.44,45.196,3,9.73,45.470,2,9.54,45.330,4,9.79,45.580
