Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME
3,7.836,7.836,5,8.308,8.308,6,8.347,8.347,4,8.082,8.082,1,7.363,7.363,2,7.624,7.624
3,10.524,18.360,4,10.160,18.468,6,10.278,18.625,5,10.423,18.504,1,10.848,18.210,2,10.689,18.313
1,11.391,29.751,4,11.608,30.075,5,11.552,30.177,3,11.503,30.007,6,12.310,30.520,2,11.615,29.928
3,12.315,42.066,1,11.470,41.545,5,12.159,42.335,4,12.212,42.218,6,12.000,42.520,2,11.993,41.921
4,10.994,53.060,1,10.776,52.321,3,10.652,52.987,2,10.738,52.956,6,10.963,53.483,5,11.181,53.102
3,10.260,1:03.319,1,10.914,1:03.234,5,10.713,1:03.699,4,10.475,1:03.430,6,10.439,1:03.921,2,10.137,1:03.238
4,10.600,1:13.918,3,10.678,1:13.911,5,10.231,1:13.929,2,10.373,1:13.803,6,10.281,1:14.201,1,10.379,1:13.617
3,10.071,1:23.989,6,10.518,1:24.428,4,10.252,1:24.180,2,10.114,1:23.917,5,10.202,1:24.403,1,10.194,1:23.810
4,10.262,1:34.250,5,9.983,1:34.410,2,10.016,1:34.196,3,10.323,1:34.239,6,10.147,1:34.550,1,10.343,1:34.153
3,10.181,1:44.430,4,10.171,1:44.581,1,9.953,1:44.148,2,10.110,1:44.349,5,10.268,1:44.817,6,17.808,1:51.960
4,10.291,1:54.721,3,10.090,1:54.670,1,10.358,1:54.505,2,10.297,1:54.645,5,10.119,1:54.935,6,11.412,2:03.372
4,10.209,2:04.929,2,10.071,2:04.741,1,10.149,2:04.654,3,10.104,2:04.749,5,10.494,2:05.429,6,14.212,2:17.583
3,9.684,2:14.613,4,11.196,2:15.937,2,9.601,2:14.255,1,9.493,2:14.241,5,10.913,2:16.341,6,14.687,2:32.270
1,10.55,2:25.157,2,10.82,2:26.756,0,,DQ,0,,DQ,3,11.70,2:28.033,4,13.87,2:46.138
