Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
3,13.27,13.27,4,13.36,13.36,2,13.15,13.15,1,12.98,12.98
3,10.11,23.38,4,10.11,23.47,1,9.93,23.08,2,10.23,23.21
4,9.82,33.20,3,9.61,33.08,1,9.79,32.87,2,9.74,32.95
4,9.51,42.71,3,9.51,42.59,1,9.53,42.40,2,9.47,42.42
4,9.15,51.86,1,9.04,51.63,3,9.37,51.77,2,9.27,51.69
4,8.91,1:00.77,1,8.59,1:00.22,2,8.85,1:00.62,3,8.93,1:00.62
3,8.70,1:09.47,1,8.70,1:08.92,2,8.70,1:09.32,4,9.03,1:09.65
2,8.57,1:18.04,1,8.90,1:17.82,3,8.86,1:18.18,4,8.95,1:18.60
2,8.76,1:26.793,1,8.94,1:26.759,3,8.97,1:27.142,4,9.31,1:27.905
