OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Vitali BAZYLENKO POSITION,Vitali BAZYLENKO LAP TIME,Vitali BAZYLENKO ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME
2,13.350,13.350,5,13.611,13.611,4,13.606,13.606,1,13.197,13.197,3,13.470,13.470
2,10.554,23.904,5,10.682,24.293,4,10.596,24.202,1,10.595,23.791,3,10.476,23.946
1,10.265,34.168,4,10.292,34.584,5,10.398,34.599,3,10.484,34.275,2,10.316,34.261
2,10.471,44.639,4,10.304,44.888,1,9.903,44.502,5,10.660,44.934,3,10.414,44.675
4,10.096,54.734,2,9.700,54.588,1,9.900,54.401,5,10.053,54.986,3,9.955,54.630
2,9.405,1:04.139,4,9.668,1:04.255,1,9.611,1:04.012,5,10.103,1:05.089,3,9.529,1:04.159
2,9.406,1:13.544,3,9.435,1:13.690,1,9.453,1:13.465,5,10.426,1:15.515,4,9.613,1:13.772
2,9.323,1:22.866,4,9.467,1:23.156,1,9.353,1:22.818,5,11.175,1:26.689,3,9.363,1:23.134
2,9.62,1:32.485,3,9.50,1:32.655,1,9.59,1:32.399,5,11.93,1:38.614,4,9.64,1:32.772
