LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME
1,12.96,12.96,2,13.26,13.26,3,13.29,13.29,4,13.34,13.34
1,9.85,22.81,4,9.92,23.18,3,9.79,23.08,2,9.67,23.01
1,9.93,32.74,3,10.06,33.24,2,10.05,33.13,4,10.35,33.36
1,10.34,43.08,3,10.17,43.41,2,10.23,43.36,4,10.28,43.64
1,9.87,52.95,3,10.00,53.41,2,9.96,53.32,4,9.92,53.56
1,9.69,1:02.64,3,9.74,1:03.15,2,9.71,1:03.03,4,9.63,1:03.19
1,9.69,1:12.33,4,9.74,1:12.89,2,9.52,1:12.55,3,9.62,1:12.81
1,9.62,1:21.95,4,10.05,1:22.94,2,9.93,1:22.48,3,10.10,1:22.91
1,10.28,1:32.229,3,10.43,1:33.363,2,10.08,1:32.560,4,10.83,1:33.732
