Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
2,12.15,12.15,3,12.26,12.26,1,11.92,11.92,4,12.35,12.35
2,9.39,21.54,3,9.36,21.62,1,9.51,21.43,4,9.35,21.70
2,9.59,31.13,3,9.57,31.19,1,9.63,31.06,4,9.63,31.33
1,9.44,40.57,2,9.43,40.62,3,9.61,40.67,4,9.49,40.82
1,9.47,50.04,2,9.47,50.09,3,9.58,50.25,4,9.51,50.33
2,9.37,59.41,1,9.15,59.24,3,9.26,59.51,4,9.30,59.63
2,9.05,1:08.46,1,9.09,1:08.33,3,9.05,1:08.56,4,9.00,1:08.63
2,9.04,1:17.50,1,9.03,1:17.36,3,9.09,1:17.65,4,9.12,1:17.75
1,9.00,1:26.496,2,9.21,1:26.562,3,9.37,1:27.021,4,9.32,1:27.065
