Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
2,15.17,15.17,1,15.04,15.04,3,15.31,15.31,4,15.45,15.45
3,11.73,26.90,2,11.77,26.81,1,11.33,26.64,4,11.57,27.02
1,10.52,37.42,2,10.65,37.46,3,11.03,37.67,4,10.75,37.77
1,10.00,47.42,2,10.09,47.55,3,10.02,47.69,4,10.07,47.84
1,9.98,57.40,2,9.95,57.50,3,9.92,57.61,4,9.86,57.70
1,9.76,1:07.16,2,9.69,1:07.19,3,9.74,1:07.35,4,9.79,1:07.49
1,9.62,1:16.78,2,9.70,1:16.89,3,9.65,1:17.00,4,9.58,1:17.07
1,9.61,1:26.39,2,9.58,1:26.47,4,9.85,1:26.85,3,9.67,1:26.74
1,9.76,1:36.15,2,9.72,1:36.19,4,10.13,1:36.98,3,9.93,1:36.67
