Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Mykyta SOKOLOV POSITION,Mykyta SOKOLOV LAP TIME,Mykyta SOKOLOV ELAPSED TIME
1,6.98,6.98,3,7.21,7.21,2,7.08,7.08,4,7.29,7.29,5,7.65,7.65
1,9.24,16.22,3,9.22,16.43,2,9.23,16.31,4,9.23,16.52,5,9.18,16.83
1,8.68,24.90,3,8.67,25.10,2,8.69,25.00,4,8.67,25.19,5,8.75,25.58
1,8.78,33.68,3,8.80,33.90,2,8.69,33.69,4,8.73,33.92,5,9.10,34.68
2,8.90,42.575,3,9.02,42.916,1,8.88,42.564,4,9.12,43.035,5,9.32,44.000
