Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
1,8.22,8.22,4,8.69,8.69,5,8.87,8.87,3,8.49,8.49,2,8.31,8.31
1,12.68,20.90,5,12.64,21.33,2,12.09,20.96,3,12.48,20.97,4,12.70,21.01
4,11.83,32.73,5,11.59,32.92,3,11.69,32.65,2,11.57,32.54,1,11.50,32.51
4,11.15,43.88,5,11.06,43.98,3,11.14,43.79,2,11.14,43.68,1,11.05,43.56
4,11.55,55.43,5,11.64,55.62,2,11.57,55.36,3,11.71,55.39,1,11.70,55.26
1,10.14,1:05.57,5,10.36,1:05.98,3,10.43,1:05.79,4,10.49,1:05.88,2,10.39,1:05.65
1,10.70,1:16.27,5,10.66,1:16.64,2,10.58,1:16.37,3,10.56,1:16.44,4,10.83,1:16.48
1,10.92,1:27.19,4,10.87,1:27.51,2,10.93,1:27.30,3,10.97,1:27.41,5,11.04,1:27.52
2,10.20,1:37.39,1,9.66,1:37.17,3,10.25,1:37.55,4,10.32,1:37.73,5,10.30,1:37.82
2,10.02,1:47.41,1,10.15,1:47.32,3,9.94,1:47.49,4,9.95,1:47.68,5,9.95,1:47.77
2,10.40,1:57.81,1,10.39,1:57.71,3,10.43,1:57.92,4,10.38,1:58.06,5,10.38,1:58.15
2,10.39,2:08.20,1,10.40,2:08.11,3,10.38,2:08.30,4,10.37,2:08.43,5,10.40,2:08.55
2,10.35,2:18.55,1,10.34,2:18.45,3,10.37,2:18.67,4,10.33,2:18.76,5,10.29,2:18.84
2,10.32,2:28.869,1,10.40,2:28.848,3,10.30,2:28.961,4,10.26,2:29.011,5,10.37,2:29.208
