Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
3,9.53,9.53,2,9.26,9.26,1,9.14,9.14,4,9.55,9.55,5,9.61,9.61
4,13.01,22.54,2,12.95,22.22,1,12.77,21.92,3,12.94,22.50,5,13.21,22.82
3,10.99,33.54,2,11.00,33.23,1,11.26,33.18,4,11.06,33.56,5,10.90,33.72
3,10.64,44.19,2,10.71,43.94,1,10.71,43.89,4,10.65,44.22,5,10.60,44.33
3,10.06,54.25,2,10.10,54.05,5,10.53,54.43,1,9.17,53.40,4,10.09,54.42
2,9.59,1:03.85,5,22.04,1:16.09,4,9.61,1:04.04,1,10.35,1:03.75,3,9.52,1:03.95
3,10.31,1:14.17,5,13.10,1:29.20,4,10.25,1:14.30,1,10.29,1:14.05,2,10.21,1:14.16
1,10.61,1:24.78,5,12.39,1:41.59,4,10.66,1:24.96,3,10.79,1:24.84,2,10.65,1:24.81
1,10.35,1:35.13,5,12.36,1:53.95,4,10.49,1:35.46,3,10.45,1:35.29,2,10.44,1:35.25
1,10.34,1:45.47,5,13.11,2:07.07,4,10.26,1:45.72,2,10.18,1:45.48,3,10.37,1:45.63
2,9.85,1:55.33,5,11.82,2:18.90,4,9.81,1:55.53,3,9.94,1:55.42,1,9.54,1:55.17
3,9.16,2:04.49,5,11.93,2:30.83,2,8.91,2:04.45,4,9.27,2:04.70,1,8.96,2:04.13
2,9.03,2:13.53,5,13.12,2:43.96,3,9.28,2:13.73,4,9.48,2:14.18,1,9.00,2:13.14
2,9.07,2:22.592,4,12.79,2:56.745,0,,DQ,3,9.60,2:23.776,1,9.36,2:22.492
