Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
1,6.91,6.91,2,7.01,7.01,3,7.18,7.18,4,7.40,7.40
1,9.28,16.19,2,9.22,16.23,3,9.25,16.44,4,9.04,16.45
4,9.35,25.55,2,8.81,25.05,1,8.34,24.78,3,8.77,25.23
4,9.44,34.99,2,8.85,33.90,1,9.09,33.88,3,8.89,34.12
4,9.67,44.651,2,9.13,43.026,1,8.83,42.701,3,9.03,43.143
