Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Casey MULLARKEY POSITION,Casey MULLARKEY LAP TIME,Casey MULLARKEY ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
4,7.57,7.57,3,7.57,7.57,1,7.02,7.02,5,7.65,7.65,2,7.10,7.10
4,9.39,16.96,5,9.52,17.09,1,9.06,16.08,3,9.17,16.82,2,9.09,16.19
5,8.73,25.69,4,8.39,25.48,1,8.33,24.41,3,8.64,25.46,2,8.37,24.56
5,8.64,34.33,3,8.57,34.05,1,8.52,32.93,4,8.74,34.20,2,8.50,33.06
5,9.52,43.847,3,8.68,42.726,1,8.80,41.724,4,9.01,43.210,2,8.77,41.829
