Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME
3,10.12,10.12,5,10.57,10.57,4,10.41,10.41,2,9.88,9.88,1,9.73,9.73
3,12.51,22.63,5,12.35,22.92,4,12.32,22.73,2,12.65,22.53,1,12.67,22.40
3,12.05,34.68,5,12.10,35.02,4,12.15,34.88,2,12.03,34.56,1,12.06,34.46
3,12.00,46.68,5,11.88,46.90,4,11.99,46.87,2,11.99,46.55,1,11.93,46.39
3,11.58,58.26,4,11.47,58.37,5,11.64,58.51,2,11.63,58.18,1,11.68,58.07
4,11.29,1:09.55,2,10.98,1:09.35,5,11.18,1:09.69,3,11.25,1:09.43,1,11.28,1:09.35
5,10.60,1:20.15,2,10.60,1:19.95,3,10.33,1:20.02,4,10.63,1:20.06,1,10.50,1:19.85
4,10.23,1:30.38,2,10.24,1:30.19,3,10.30,1:30.32,5,10.34,1:30.40,1,10.20,1:30.05
4,9.74,1:40.12,2,9.75,1:39.94,3,9.71,1:40.03,5,9.87,1:40.27,1,9.74,1:39.79
5,10.04,1:50.16,2,9.70,1:49.64,3,9.69,1:49.72,4,9.61,1:49.88,1,9.71,1:49.50
4,9.09,1:59.25,2,9.36,1:59.00,3,9.39,1:59.11,5,9.41,1:59.29,1,9.42,1:58.92
4,9.17,2:08.42,2,9.19,2:08.19,3,9.17,2:08.28,5,9.73,2:09.02,1,9.13,2:08.05
3,9.27,2:17.69,2,9.02,2:17.21,4,9.70,2:17.98,5,9.99,2:19.01,1,9.15,2:17.20
0,,PEN,1,9.11,2:26.311,3,10.15,2:28.130,4,10.37,2:29.379,2,9.32,2:26.516
