Stephane PERIER POSITION,Stephane PERIER LAP TIME,Stephane PERIER ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME
1,6.78,6.78,2,6.81,6.81,3,7.21,7.21,4,7.43,7.43
1,9.31,16.10,2,9.39,16.21,3,9.01,16.23,4,9.33,16.77
1,8.93,25.04,2,8.84,25.05,3,8.89,25.12,4,8.84,25.61
3,8.96,34.00,1,8.57,33.62,2,8.85,33.97,4,9.19,34.80
1,9.10,43.099,2,9.54,43.153,3,9.28,43.244,4,9.39,44.188
