FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME
2,7.35,7.35,1,7.29,7.29,4,7.75,7.75,3,7.74,7.74
2,9.66,17.01,1,9.65,16.94,3,9.54,17.29,4,9.75,17.49
2,9.18,26.20,1,9.20,26.15,3,9.08,26.37,4,9.13,26.63
2,9.27,35.48,1,9.29,35.45,3,9.30,35.67,4,9.19,35.82
1,9.47,44.943,2,9.58,45.030,4,40.46,1:16.129,3,9.43,45.250
