LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Nikolay STANCHEV POSITION,Nikolay STANCHEV LAP TIME,Nikolay STANCHEV ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
2,7.747,7.747,1,7.619,7.619,3,7.961,7.961,4,8.055,8.055,5,8.293,8.293
1,9.972,17.718,2,10.141,17.759,3,10.019,17.980,4,9.946,18.001,5,9.877,18.170
1,10.486,28.204,2,10.504,28.263,3,10.388,28.367,4,10.384,28.385,5,10.332,28.501
1,10.542,38.746,2,10.560,38.822,4,10.743,39.110,5,10.799,39.183,3,10.540,39.041
2,10.747,49.493,1,10.640,49.462,4,10.665,49.775,5,10.712,49.895,3,10.641,49.682
1,10.796,1:00.288,2,10.842,1:00.304,3,10.720,1:00.494,4,10.659,1:00.554,5,10.913,1:00.594
1,10.658,1:10.945,2,10.654,1:10.957,3,10.549,1:11.043,5,10.724,1:11.277,4,10.498,1:11.091
1,10.312,1:21.256,2,10.356,1:21.312,4,10.515,1:21.557,5,10.357,1:21.634,3,10.384,1:21.475
1,10.211,1:31.467,2,10.291,1:31.603,3,10.059,1:31.616,5,10.137,1:31.770,4,10.229,1:31.704
1,10.026,1:41.493,2,9.893,1:41.495,4,10.031,1:41.646,5,10.010,1:41.780,3,9.898,1:41.601
2,9.731,1:51.223,3,9.787,1:51.282,1,9.263,1:50.909,5,9.773,1:51.553,4,9.830,1:51.431
2,9.240,2:00.463,3,9.708,2:00.990,1,9.386,2:00.295,5,9.954,2:01.506,4,9.611,2:01.041
1,9.356,2:09.818,3,9.701,2:10.690,2,9.629,2:09.924,5,10.298,2:11.803,4,9.752,2:10.793
1,9.89,2:19.699,4,9.99,2:20.675,2,9.98,2:19.899,5,11.01,2:22.809,3,9.89,2:20.674
